Method,k,Accuracy
SE,0,12.802658486707566
SE,1,13.454234613361388
SE,2,13.813308189655173
SE,3,14.415057374755108
SE,4,15.403297026788342
SE,5,16.148757663762503
AIC Exact,0,3.46140081799591
AIC Exact,1,3.5841662283008944
AIC Exact,2,3.7995689655172415
AIC Exact,3,3.8706968933669184
AIC Exact,4,4.031792758316161
AIC Exact,5,4.223297838012262
AIC LH,0,2.7137014314928427
AIC LH,1,2.9665965281430826
AIC LH,2,3.2648168103448274
AIC LH,3,3.4097397145256085
AIC LH,4,3.717397703856344
AIC LH,5,3.891577928363988
DynDom,0,0.0
DynDom,1,0.3338412522510043
DynDom,2,0.7254929777273372
DynDom,3,1.206520135713232
DynDom,4,1.7578767654819183
DynDom,5,2.2818769126147567
FATCAT,0,0.0
FATCAT,1,0.19621251972645976
FATCAT,2,0.37095905172413796
FATCAT,3,0.6484746711446964
FATCAT,4,0.9858698851928172
FATCAT,5,1.3210713133268797
BIC Exact,0,0.0005112474437627812
BIC Exact,1,0.011046817464492372
BIC Exact,2,0.01912715517241379
BIC Exact,3,0.037783375314861464
BIC Exact,4,0.06829555490138357
BIC Exact,5,0.0877702484672475
BIC LH,0,0.0005112474437627812
BIC LH,1,0.011309836927932667
BIC LH,2,0.018857758620689655
BIC LH,3,0.036943744752308987
BIC LH,4,0.0691786870768325
BIC LH,5,0.08712487899322362
